https://www.africanhut.com/collections/confectionary
Bakers Provita Multigrain Crispbread (Kosher) 250g,$3.69
Bakers Provita Original Whole Wheat Crispbread (Kosher) 250g,$4.19
Bakers Red Label Lemon Cream Biscuits (Kosher) 200g,$2.89
Bakers Romany Creams - Cappuccino (Kosher) 200g,$3.69
Bakers Romany Creams Classic Chocolate (Kosher) 200g,$4.39
Bakers Romany Creams Mint Chocolate (Kosher) 200g,$4.49
Bakers Romany Creams Vanilla Chocolate (Kosher) 200g,$3.69
Bakers Royal Creams 280g,$6.89
Bakers Tennis - Caramel (Kosher) 200g,$2.59
Bakers Tennis - Lemon 200g,$3.09
Bakers Tennis - Mini Biscuits Bag 40g,$1.09
Bakers Tennis - Mint Chocolate 200g,$3.59
Bakers Tennis Original Biscuits (Kosher) 200g,$3.29
Bakers Topper - Mint Chocolate Biscuits 125g,$1.49
Bakers Topper Chocolate Biscuits (Kosher) 125g,$1.19
Bakers Topper Custard Biscuits (Kosher) 125g,$1.29
Bakers Topper Vanilla Biscuits (Kosher) 125g,$1.19
Bakers Zoofari - Mini Biscuits Bag 40g,$0.89
Balconi Mini Rolls Strawberry Filling 6 Pcs 180g,$3.29
Balconi Mini Tiramisu Filling 10 Pcs 300g,$5.19
Balconi Rollino Nocciola 6 Pcs 222g,$4.39
Balconi Wafers Cocoa 5 Pack 225g,$4.39
Balconi Wafers Hazelnut 5 Pack 225g,$4.39
Balconi Wafers Lemon 5 Pack 225g,$4.39
Balconi Wafers Strawberry 5 Pack 225g,$4.39
Bokomo Buttermilk Rusks Traditional Cut (Kosher) 500g,$8.99
Bokomo Muesli Rusks Traditional Cut (Kosher) 500g,$8.99
Cape Cookies Cape Cookies Mini - Juliet Delight 200g,$5.99
Cape Cookies Chocolate Digestives 200g,$5.79
Cape Cookies Mini - Double Delight 200g,$5.99
Cape Cookies Mini - Muesli Yoghurt 200g,$5.99
Cape Cookies Mini - Romeo Delight 200g,$6.59
Lees Teacakes Jam (Pack of Six Cakes) 132g,$2.59
Nola Ouma Buttermilk Chunky Rusks 500g,$7.59
Nola Ouma Buttermilk Chunky Rusks Large Box 1kg,$13.19
Nola Ouma Buttermilk Sliced Rusks 450g,$7.69
Nola Ouma Condensed Milk Flavored Chunky Rusks 500g,$7.59
Nola Ouma Muesli Chunky Rusks 500g,$7.49
Nola Ouma Plain Sliced Rusks 450g,$7.59
Nola Ouma Rusks - Buttermilk Mini Bites Chunky 200g,$3.59
Nola Ouma Rusks - Chocolate Chip Sliced 450g,$7.49
Nola Ouma Rusks - Muesli Mini Bites Chunky  200g,$3.39
Nola Ouma Rusks Muesli (Sliced) 450g,$7.69
Nola Ouma Rusks Yum Yum Peanut Butter 450g,$7.69
Nola Ouma Three Seed Sliced Rusks with Pumpkin Sesame and Sunflower Seeds Chunky 450g,$7.49
Safari Dried Fruit Apricots 250g,$10.09
Safari Dried Fruit Cling Peaches 250g,$7.79
Safari Fruit Roll Apricot 80g,$3.39
Safari Fruit Roll Guava 80g,$3.39
Safari Fruit Roll Mango 80g,$3.49
Safari Fruit Roll Peach 80g,$3.39
Simba  Chips - Nik Naks Chutney Flavour 135g,$2.89
Stoney Ginger Beer 300ml,$2.29
Walkers Bugles - Cheese Flavour Corn Snack 110g,$5.59
Walkers Bugles - South Western Style BBQ Flavour Corn Snack 110g,$6.89
Willards Cheasnaks Fruit Chutney 135g,$2.19
Willards Cheese Curls - Fruit Chutney 150g,$3.49
Willards Crinkle Cut - Fruit Chutney 125g,$2.99
Willards Flings (Kosher) 150g,$3.59

--------------- end of section ---------------

https://www.africanhut.com/collections/beverages
All Gold Tomato Cocktail 200ml,$3.19
Appletiser Can 330ml,$2.99
Backsberg Wine  -  Brut Methode Cap Classique 2018 (Kosher) 750ml,$31.59
Backsberg Wine  -  Cabernet Sauvignon Paarl 2018 750ml,$19.29
Backsberg Wine  -  Chardonnay Paarl (Kosher) 2019 750ml,$19.29
Backsberg Wine  -  Chenin Blanc 2019 750ml,$17.59
Backsberg Wine  -  John Martin Reserve Sauvignon Blanc 2016 750ml,$32.79
Backsberg Wine  -  Pumphouse Shiraz 2013 750ml,$26.39
Bellingham Chenin Blanc 2020 750ml,$30.29
Bellingham Pinotage 2017 750ml,$33.09
Boschendal Chardonnay 2020 Rich Texture with Elegant Depth and Buttery Dimensions 750ml,$16.99
Boschendal Pinot Noir 2020 750ml,$19.09
Braai Wine - Pinotage 2020 750ml,$15.89
Broadbent Ruby Port 750ml,$21.99
Broadbent Tawny Port 500ml,$54.99
Broadbent Tawny Port 750ml,$21.99
Brookes Oros Orange Squash 1L,$4.69
Buitenverwachting Beyond Wine - Sauvignon Blanc 2018 750ml,$14.19
Cape D Or Cabernet Sauvignon 2020 750ml,$20.19
Cape D Or Sauvignon Blanc 2021 750ml,$18.49
Capensis Silene 2018 Chardonnay Wine 750ml,$47.39
De Wetshof Estate Wine - Lesca Chardonnay 2019 750ml,$29.29
De Wetshof Estate Wine - Limestone Hill Chardonnay 2020 750ml,$23.09
DeMorgenzon Dmz Wine - Rose 2018 750ml,$14.99
Dornier Wine - Donatus 2016 750ml,$42.19
Dornier Wine - Siren Syrah 2016 750ml,$29.29
Ernie Els Wine Big Easy Chenin Blanc 2016 750ml,$26.99
Excelsior Syrah 2020 This Wine Has Bold Plum Chocolate and Spicy Aromas 750ml,$25.49
Excelsior Wine - Cabernet Sauvignon 2019 750ml,$9.59
Five Roses Decaf Tea Bags (Pack of 50 Bags) 125g,$7.09
Five Roses Loose Leaf Tea 250g,$6.19
Five Roses Rooibos Tea Bags (Pack of 80 Bags) 160g,$7.69
Five Roses Tagged Tea Bags (Pack of 100 Bags) 250g,$11.09
Five Roses Tagless Ceylon Tea Bags (Pack of 102 Bags) 250g,$8.29
Five Roses Tea - African Blend Strong Tea Bags (Pack Of 102 Bags) 250g,$5.39
Fleur Du Cap Wine Cabernet Sauvignon 2018 750ml,$18.39
Fleur Du Cap Wine Chardonnay Essence Du Cap 2018 750ml,$12.29
Freshpak Rooibos Tea - Green Tea Teabags (Pack Of 80 Bags) 160g,$11.79
Freshpak Rooibos Tea - Junior Rooibos Tea Bags (Pack Of 20 Bags) 40g,$3.49
Freshpak Rooibos Tea Chamomile Tea Bags (Pack of 20 Bags) 30g,$3.39
Freshpak Rooibos Tea Tagless Tea Bags (Pack of 40 Bags) 100g,$4.29
Freshpak Rooibos Tea Tagless Tea Bags (Pack of 80 Bags) 200g,$6.49
Frisco Coffee - Granules Refill Bag (Green Bag) 200g,$6.09
Frisco Coffee Granules Tin (Green Tin) 250g,$6.49
Frisco Original Coffee Powder (Kosher) 250g,$7.69
Frisco Original Coffee Powder (Kosher) 750g,$16.69
